# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              0.0042
# difusion:            0.100347
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   238919
# caminos_cortados:    38200
# %% cortados:         13.7847
# puntos_generados:    160505957
# tiempo:              2m 32s

      4145        125
      3875        313
      3474        590
      3182        806
      2944        953
      2611       1231
      2363       1408
      2083       1607
      1889       1794
      1851       1802
      1903       1764
      1822       1786
      1791       1822
      1839       1799
      1876       1839
      1840       1811
      1843       1811
      1822       1853
      1837       1869
      1797       1814
      1790       1823
      1833       1871
      1800       1820
      1808       1856
      1800       1831
      1840       1802
      1782       1840
      1841       1803
      1847       1812
      1844       1796
      1851       1820
      1831       1816
      1848       1839
      1813       1830
      1862       1809
      1831       1827
      1735       1877
      1858       1787
      1798       1843
      1852       1791
      1837       1853
      1800       1793
      1795       1854
      1803       1849
      1875       1814
      1796       1857
      1812       1848
      1812       1842
      1828       1787
      1750       1941
      1860       1835
      1855       1846
      1811       1833
      1774       1905
      1827       1848
      1783       1901
      1623       2067
      1469       2280
      1232       2604
      1011       2915
       796       3198
       549       3559
       335       3847
       106       4163
