# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.0042
# difusion:            0.100347
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   238963
# caminos_cortados:    38157
# %% cortados:         13.7691
# puntos_generados:    159603859
# tiempo:              2m 21s

    119095       3039
    116365       9692
    114033      17318
    111850      26357
    109675      36751
    107452      49213
    105268      64384
    103109      83671
     68979      64549
     46421      45496
     46568      46086
     36692      36438
     36804      36150
     47127      46627
     47336      46490
     68881      67852
     69259      68792
     47943      47041
     48006      47408
     37959      37388
     37545      37374
     47596      47584
     47495      47264
     69005      68788
     69284      69289
     47850      47804
     47872      47387
     37975      37581
     37762      37921
     47838      47900
     47728      47792
     69318      69363
     69021      69742
     47757      48027
     47529      47892
     37759      38092
     37610      38019
     47395      47976
     47206      48104
     69131      69558
     68260      69513
     47013      47814
     47130      47789
     37216      37833
     37112      37959
     47082      48197
     47148      48046
     68405      69472
     67685      69222
     46136      47400
     46254      47306
     36563      37346
     36150      37059
     45979      46946
     45237      46702
     64255      69038
     83289     103596
     64197     105692
     49100     107852
     36573     110064
     26136     112251
     17399     114489
      9625     116860
      3019     119620
