# numero_iteraciones:  1
# numero_hilos:        100000
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              40
# difusion:            0.999986
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   5746154
# caminos_cortados:    653828
# %% cortados:         10.2161
# puntos_generados:    4047271762
# tiempo:              151m 27s

   2872657       1207
   2808447       2442
   2755200       3753
   2703317       5040
   2652495       6372
   2601861       7954
   2552153      10005
   2503510      14520
   2253090      40415
   2072184      81169
   2011744     121376
   1958097     152748
   1900259     200345
   1863260     243197
   1815217     285252
   1766511     320937
   1736279     349234
   1689162     392438
   1637732     435038
   1586009     468416
   1528451     519149
   1491182     564982
   1442323     610037
   1392912     648824
   1361513     679075
   1318249     724924
   1268771     770511
   1218254     806045
   1161907     860411
   1125416     908556
   1077700     955331
   1030134     995924
    998920    1026834
    958042    1074707
    910590    1121879
    862362    1158238
    808411    1214690
    773049    1265109
    727481    1315263
    681672    1358724
    651467    1390388
    612372    1439766
    567188    1488249
    521342    1526074
    470406    1584068
    437145    1636264
    394765    1687744
    351543    1734516
    323122    1764655
    287070    1813262
    244609    1861112
    201414    1897996
    153092    1956048
    121719    2009719
     81380    2069935
     40179    2250604
     14391    2500946
      9828    2549719
      7797    2599219
      6216    2649535
      4788    2700653
      3441    2752235
      2151    2805805
       890    2870277
