# numero_iteraciones:  1
# numero_hilos:        100000
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              40
# difusion:            0.999986
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   5746154
# caminos_cortados:    653828
# %% cortados:         10.2161
# puntos_generados:    4047271762
# tiempo:              151m 27s

     99435         19
     98412         71
     97578        120
     96674        165
     96024        201
     95738        265
     95523        295
     95405        346
     93468        876
     90248       3182
     87584       4882
     85304       6473
     82358       8506
     80076      10153
     77620      11780
     74565      13865
     74020      14457
     71623      16215
     69096      18067
     67086      19782
     64416      21770
     62367      23266
     59969      25334
     57474      27306
     56979      27756
     54545      29863
     52763      31584
     50433      33712
     48162      35773
     46583      37408
     44279      39484
     42216      41566
     41950      41884
     39168      44747
     37537      46387
     36042      47917
     33543      50681
     31874      52524
     29898      54461
     27981      56729
     27381      57469
     25186      60179
     23399      62309
     22006      63993
     19411      67364
     18060      69397
     16387      71397
     14405      74305
     14096      74664
     11916      77706
     10186      80046
      8727      82111
      6462      85293
      4873      87551
      3290      90057
       945      93376
       336      95410
       323      95461
       304      95704
       191      96214
       171      96767
       113      97507
        65      98363
        23      99367
