# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              40
# difusion:            0.999986
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   248782
# caminos_cortados:    28337
# %% cortados:         10.2256
# puntos_generados:    1661356213
# tiempo:              14m 8s

    124166         56
    121326        107
    118999        174
    116728        239
    114592        290
    112429        369
    110280        469
    108173        640
     97250       1705
     89368       3472
     86792       5206
     84449       6593
     82021       8665
     80406      10514
     78329      12312
     76217      13905
     74927      15135
     72766      16981
     70562      18799
     68328      20245
     65871      22481
     64259      24446
     62214      26384
     60012      28026
     58701      29322
     56769      31284
     54637      33383
     52385      34887
     50026      37226
     48390      39334
     46350      41388
     44341      43192
     42943      44520
     41162      46670
     39136      48771
     37051      50370
     34763      52742
     33242      54895
     31227      57000
     29276      58959
     27961      60374
     26296      62495
     24386      64511
     22397      66191
     20165      68754
     18756      71090
     16857      73265
     15008      75255
     13794      76555
     12227      78665
     10311      80747
      8522      82344
      6526      84883
      5152      87186
      3461      89839
      1665      97627
       576     108509
       402     110665
       322     112772
       255     114961
       201     117138
       144     119366
        86     121678
        25     124484
